片名,上映年份,评分,评价人数,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长
弱点,2009,8.7,302419,约翰·李·汉考克,约翰·李·汉考克 / 迈克尔·刘易斯,桑德拉·布洛克 / 蒂姆·麦格罗 / 昆东·亚伦 / 杰·海德 / 莉莉·柯林斯 / 雷·迈克金农 / 金·迪肯斯 / 安德莱内·列诺斯 / 凯西·贝茨 / 凯萨琳·戴尔 / 安迪·斯塔尔 / 汤姆·诺维茨基 / 莎朗·莫里斯 / 奥马尔·J·多尔西 / 伊劳伊·辛格尔顿 / 罗达·格里菲丝 / 艾希礼·勒孔特·坎贝尔 / Elizabeth Omilami / 阿非莫·奥米拉 / 马丽娅豪厄尔 / Patrick G. Keenan / 大卫·德怀尔 / 罗伯特·普拉尔戈 / 布雷特·赖斯 / Preston Brant / 马修·阿特金森 / 约翰·纽伯格 / 乔·克里斯特 / Phillip Fulmer / Lou Holtz / Nick Saban / Haji Abdullah / Demetrius B. Banks / Tim Brazeal / Byron Bryson / Chrissy Chambers / Monica D'Onofrio / J. Colby Doler / Roger Goodell / 杰夫科斯·格林 / 安东尼·B·哈里斯 / Scottie Knollin / Amir Kovacs / 梅丽莎·乐爱伦,剧情 / 家庭 / 传记 / 运动,美国,英语,2009-11-20(美国),129分钟
燃情岁月,1994,8.8,282968,爱德华·兹威克,威廉·D·威特利夫 / 吉姆·哈里森 / 苏珊·希利迪,布拉德·皮特 / 安东尼·霍普金斯 / 艾丹·奎因 / 朱莉娅·奥蒙德 / 亨利·托马斯 / 卡琳娜·隆巴德 / 坦图·卡丁诺 / 高登·图托西斯 / 克里斯蒂娜·皮克勒斯 / 约翰·诺瓦克 / 肯尼斯·威尔什 / 尼格尔·本内特 / 基根·麦金托什 / 埃里克·约翰逊 / 兰德尔·斯莱文 / 大卫·卡耶 / 查尔斯·安德烈 / 肯·科齐格 / 温妮·孔 / 巴特熊 / 格雷格·福西特 / 加里·A·赫克 / 马修·罗伯特·凯利,剧情 / 爱情 / 战争 / 西部,美国,英语 / 科尼什语,1994-12-16(美国),133分钟
谍影重重,2002,8.6,419722,道格·里曼,托尼·吉尔罗伊 / 罗伯特·鲁德鲁姆 / W·布莱克·赫伦,马特·达蒙 / 弗朗卡·波滕特 / 克里斯·库珀 / 克里夫·欧文 / 朱丽娅·斯蒂尔斯 / 布莱恩·考克斯 / 阿德沃尔·阿吉纽依-艾格拜吉 / 加布里埃尔·曼 / 沃尔顿·戈金斯 / 约什·汉密尔顿 / 奥尔索·马利亚·奎利尼,动作 / 悬疑 / 惊悚,www.thebourneidentity.com,美国 / 德国 / 捷克,英语 / 法语 / 德语 / 荷兰语 / 意大利语,2002-11-21(中国大陆) / 2002-06-14(美国)
朗读者,2008,8.6,449405,史蒂芬·戴德利,戴维·黑尔 / 本哈德·施林克,凯特·温丝莱特 / 大卫·克劳斯 / 拉尔夫·费因斯 / 詹妮特·海因 / 苏珊娜·洛塔尔 / Alissa Wilms / 弗罗里安·巴西奥罗麦 / 弗里德里克·贝希特 / 马蒂亚斯·哈比希 / Frieder Venus / Marie-Anne Fliegel / Hendrik Arnst / Rainer Sellien / 托尔斯滕·米凯利斯 / Moritz Grove,剧情 / 爱情,美国 / 德国,英语 / 德语 / 希腊语 / 拉丁语,2008-12-10(纽约首映) / 2009-01-30(美国) / 2009-02-26(德国),124 分钟
再次出发之纽约遇见你,2013,8.6,421943,约翰·卡尼,约翰·卡尼,凯拉·奈特莉 / 马克·鲁弗洛 / 亚当·莱文 / 詹姆斯·柯登 / 海莉·斯坦菲尔德 / 凯瑟琳·基纳 / 茅斯·达夫 / 罗伯·莫洛 / 伊恩·布罗茨基 / 香农·沃尔什 / 大卫·埃伯利斯 / 马科·阿桑特 / 玛丽·凯瑟琳·歌瑞森 / 詹·雅各布 / 席洛·格林 / 詹妮弗·李·杰克逊 / 特里·刘易斯 / 吉米·帕伦博 / 西蒙·德兰尼 / 丹妮尔·布里瑟布瓦 / 基恩·鲁弗洛 / 尼古拉斯·丹尼尔·冈萨雷斯 / 麦迪·科尔曼 / 阿雅·卡什 / 大卫·彭德尔顿 / 保罗·罗梅罗 / 安德鲁·塞伦 / 凯伦·皮特曼 / 罗恩·沃斯,喜剧 / 爱情 / 音乐,美国,英语,2015-06-26(中国大陆) / 2013-09-07(多伦多电影节) / 2014-07-11(美国),104分钟
哈利·波特与凤凰社,2007,8.5,555288,大卫·叶茨,迈克尔·戈登伯格 / J. K. 罗琳,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 加里·奥德曼 / 拉尔夫·费因斯 / 玛吉·史密斯 / 迈克尔·刚本 / 艾伦·瑞克曼 / 艾玛·汤普森 / 艾美达·斯丹顿 / 詹森·艾萨克 / 汤姆·费尔顿 / 海伦娜·伯翰·卡特 / 邦妮·怀特 / 朱丽·沃特斯 / 梁佩诗 / 布莱丹·格里森 / 罗彼·考特拉尼 / 伊文娜·林奇,奇幻 / 冒险,www.harrypotter.co.uk,英国 / 美国,英语,2007-08-10(中国大陆) / 2007-07-11(美国)
白日梦想家,2013,8.6,461187,本·斯蒂勒,斯蒂夫·康拉德 / 詹姆斯·瑟伯,本·斯蒂勒 / 克里斯汀·韦格 / 亚当·斯科特 / 西恩·潘 / 凯瑟琳·哈恩 / 泰伦斯·伯尼·海恩斯 / 保罗·菲兹杰拉德 / 乔恩·戴利 / 乔伊·斯洛特尼克 / 格蕾丝·雷克斯 / 阿莱克斯·阿方格 / 阿曼达·诺顿 / 阿德里安·马丁斯 / 雪莉·麦克雷恩 / 艾米·斯蒂勒 / 斯图尔特·康菲尔德 / 奥拉维尔·达里·奥拉夫松 / 索哈德吕尔·西格罗森 / 贡纳·黑尔加松 / 卡伊·伦诺克斯 / 柯南·奥布莱恩 / 安迪·里克特 / 安东尼·德西奥 / 帕顿·奥斯瓦尔特 / 理查德·德多梅尼科 / 马特·莱文 / 格雷格·西佩斯 / 马米·科西科 / 马修·古利 / 罗丝玛丽·霍华德 / 伊兰·克里斯费尔德 / 安娜·库奇马,剧情 / 喜剧 / 冒险,美国 / 英国,英语 / 西班牙语 / 冰岛语,2013-12-25(美国),114分钟
香水,2006,8.5,538422,汤姆·提克威,安德鲁·伯金 / 贝尔恩德·艾辛格 / 汤姆·提克威 / 帕特里克·聚斯金德,本·卫肖 / 艾伦·瑞克曼 / 蕾切儿·哈伍德 / 达斯汀·霍夫曼 / 大卫·卡尔德 / 比吉特·米尼希迈尔 / 卡洛斯·格拉马赫 / 西恩·托马斯 / 佩里·米尔沃德 / 山姆·道格拉斯 / 卡洛琳·赫弗斯 / 卡罗丽娜·维拉·斯克利亚 / 莎拉·弗里斯蒂 / 科琳娜·哈弗奇 / 杰西卡·施瓦茨 / 约翰·赫特 / 拉蒙·普霍尔,剧情 / 犯罪 / 奇幻,德国 / 法国 / 西班牙 / 美国 / 比利时,英语,2006-09-07(德国) / 2006-09-14(法国) / 2006-11-24(西班牙) / 2007-01-05(美国),147分钟
穿越时空的少女,2006,8.6,377516,细田守,奥寺佐渡子 / 筒井康隆,仲里依纱 / 石田卓也 / 板仓光隆 / 垣内彩未 / 谷村美月 / 关户优希 / 桂歌若 / 安藤绿 / 立木文彦 / 山本圭子 / 反田孝幸 / 谷川清美 / 汤屋敦子 / 松田洋治 / 中村正 / 原沙知绘,剧情 / 爱情 / 科幻 / 动画,www.kadokawa.co.jp/tokikake/,日本,日语,2006-07-15(日本)
海洋,2009,9.1,155401,雅克·贝汉 / 雅克·克鲁奥德,克里斯托夫·谢松 / 雅克·克鲁奥德 / 洛朗·德巴 / 斯特凡纳·迪朗 / 洛朗·戈德 / 雅克·贝汉 / 弗朗索瓦·萨兰诺,皮尔斯·布鲁斯南 / 小佩德罗·阿门达里斯 / 雅克·贝汉 / 宫泽理惠 / 马蒂亚斯·勃兰特 / 阿尔多 / 兰斯洛特·佩林 / Manolo Garcia,纪录片,www.oceans-lefilm.com,法国 / 瑞士 / 西班牙 / 美国 / 阿联酋 / 摩纳哥,法语,2011-08-12(中国大陆) / 2009-10-17(东京电影节) / 2010-01-27(法国)
