片名,上映年份,评分,评价人数,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长
人工智能,2001,8.7,439442,史蒂文·斯皮尔伯格,布莱恩·奥尔迪斯 / 伊恩·沃森 / 史蒂文·斯皮尔伯格,海利·乔·奥斯蒙 / 弗兰西丝·奥康纳 / 山姆·洛巴兹 / 杰克·托马斯 / 裘德·洛 / 威廉·赫特 / 梁振邦 / 克拉克·格雷格 / 凯文·苏斯曼 / 汤姆·加洛普 / 尤金·奥斯门特 / 艾普尔·格雷斯 / 马特·温斯顿 / 萨布丽娜·格德维奇 / 西奥·格林利,剧情 / 科幻,http://aimovie.warnerbros.com/,美国 / 英国,英语,2001-06-29(美国)
波西米亚狂想曲,2018,8.6,595146,布莱恩·辛格,安东尼·麦卡滕 / 皮特·摩根,拉米·马雷克 / 本·哈迪 / 约瑟夫·梅泽罗 / 格威利姆·李 / 艾伦·里奇 / 露西·宝通 / 艾丹·吉伦 / 汤姆·霍兰德尔 / 麦克·梅尔斯 / 阿隆·麦克卡斯克 / 梅内卡·达斯 / 迪基·博 / 蒂姆· 普莱斯特 / 杰克·罗思 / 马克斯·班内特 / 基兰·哈德卡斯托 / 罗斯·格林 / 布鲁斯·麦克金伦 / 米歇尔·邓肯 / 马特·格林伍德 / 罗茜·本杰明 / 约翰·奥特曼 / 詹姆斯·华莱士 / 文森特·阿德里安 / 拉斯科·阿特金斯 / 乔纳森·奇塔姆 / 迈克尔·科布 / 耶稣·加洛 / 亚当·兰伯特 / 豪尔赫·莱昂·马丁内斯 / 杰森· 莱恩斯 / 伊斯雷尔·鲁兹,剧情 / 同性 / 音乐 / 传记,英国 / 美国,英语,2019-03-22(中国大陆) / 2018-11-02(美国),135分钟 / 131分钟(中国大陆)
虎口脱险,1966,8.9,253183,热拉尔·乌里,热拉尔·乌里 / 达妮埃尔·汤普森 / 马塞尔·朱利安 / 乔治·塔贝 / 安德烈·塔贝,路易·德·菲奈斯 / 布尔维尔 / 克劳迪奥·布鲁克 / 安德丽·帕里西 / 科莱特·布罗塞 / 迈克·马歇尔 / 玛丽·马凯 / 皮埃尔·贝尔坦 / 本诺·施特岑巴赫 / 玛丽·杜布瓦 / 特里-托马斯 / 西戈德·拉普 / 赖因哈德·科尔德霍夫 / 赫尔穆特·施奈德 / 保罗·普雷博伊斯特 / 汉斯·迈尔 / 居伊·格罗索 / 米歇尔·莫多 / 彼得·雅各布 / 吕迪·勒努瓦 / 诺埃尔·达扎尔 / 皮埃尔·鲁塞尔 / 皮埃尔·巴斯蒂安 / 雅克·萨布隆 / 玛格·阿夫里尔 / 雅克·博杜因 / 加布里埃尔·戈班 / 保罗·梅塞 / 亨利·热内斯,喜剧 / 战争,法国 / 英国,法语 / 英语 / 德语,1966-12-08(法国),132分钟 / 124分钟(蓝光修复版) / 122分钟(4K修复版)
青蛇,1993,8.6,518955,徐克,李碧华 / 徐克,张曼玉 / 王祖贤 / 赵文卓 / 吴兴国 / 马精武 / 田丰 / 刘洵,剧情 / 爱情 / 奇幻 / 古装,中国香港 / 中国大陆,粤语 / 汉语普通话,1993-11-04(中国香港),99分钟
终结者2：审判日,1991,8.8,337517,詹姆斯·卡梅隆,詹姆斯·卡梅隆 / 小威廉·威谢尔,阿诺·施瓦辛格 / 琳达·汉密尔顿 / 爱德华·福隆 / 罗伯特·帕特里克 / 阿尔·伯恩 / 乔·莫顿 / 埃帕莎·默克森 / 卡斯图罗·格雷拉 / 丹尼·库克塞 / 詹妮特·戈德斯坦恩 / 山德·贝克利 / 莱思莉·汉密尔顿·格伦 / 彼得·舒鲁姆 / 唐·雷克 / 吉姆·帕尔默 / 格温达·迪肯 / 科林·帕特里克·林奇 / 妮基·考克斯 / 德沃恩·尼克森 / 阿卜杜勒·萨拉姆·埃尔·拉扎克 / 迈克·马斯喀特 / 迪恩·诺里斯 / 查尔斯·A·坦伯罗 / 丹尼·皮尔斯 / 马克·克里斯托弗·劳伦斯 / 林凡  / 乔尔·克莱默 / 斯科特·肖 / 史文-欧尔·托尔森 / 小威廉·威谢尔 / Ken Gibbel / Robert Winley / Michael Edwards / Don Stanton / Dan Stanton / Lisa Brinegar / Dalton Abbott / Bret A. Arnold / Martin Deluca,动作 / 科幻,美国 / 法国,英语 / 西班牙语,1991-07-03(美国) / 2017-02-17(柏林电影节 3D),137分钟 / 153分钟(特别版) / 156分钟(终极剪辑版)
罗生门,1950,8.8,309958,黑泽明,黑泽明 / 桥本忍 / 芥川龙之介,三船敏郎 / 京町子 / 森雅之 / 志村乔 / 千秋实 / 上田吉二郎 / 本间文子 / 加东大介,剧情 / 悬疑 / 犯罪,日本,日语,1950-08-26(日本),88分钟
疯狂的麦克斯4：狂暴之路,2015,8.7,521872,乔治·米勒,乔治·米勒 / 布伦丹·麦卡锡 / 尼克·拉图里,汤姆·哈迪 / 查理兹·塞隆 / 尼古拉斯·霍尔特 / 休·基斯-拜恩 / 乔什·赫尔曼 / 内森·琼斯 / 佐伊·克罗维兹 / 罗茜·汉丁顿-惠特莉 / 丽莉·吉欧 / 阿比·丽 / 考特尼·伊顿 / 安格斯·桑普森 / 理查德·卡特 / 梅根·盖尔 / 肖恩·哈普,动作 / 科幻 / 冒险,www.madmaxmovie.com,澳大利亚 / 美国,英语 / 俄语,2015-05-14(澳大利亚) / 2015-05-15(美国)
萤火虫之墓,1988,8.7,401134,高畑勋,高畑勋 / 野坂昭如,辰己努 / 白石绫乃 / 志乃原良子 / 山口朱美 / 端田宏三,剧情 / 动画 / 战争,日本,日语,1988-04-16(日本),89 分钟
新龙门客栈,1992,8.7,437864,李惠民,徐克 / 张炭 / 何冀平,张曼玉 / 林青霞 / 梁家辉 / 甄子丹 / 熊欣欣 / 刘洵 / 任世官 / 吴启华 / 袁祥仁 / 徐锦江 / 郑希怡 / 王彤川 / 王伟顺 / 蔡浩,动作 / 爱情 / 武侠 / 古装,中国香港 / 中国大陆,汉语普通话 / 粤语,2012-02-24(中国大陆) / 1992-08-27(中国香港),88分钟 / 99分钟 / 103分钟(美国)
千钧一发,1997,8.8,292960,安德鲁·尼科尔,安德鲁·尼科尔,伊桑·霍克 / 乌玛·瑟曼 / 裘德·洛 / 艾伦·阿金 / 戈尔·维达尔 / 山德·贝克利 / 劳恩·迪恩 / 简妮·布鲁克 / 伊莱亚斯·科泰斯 / 玛娅·鲁道夫 / 伍娜·戴蒙 / 布莱尔·安德伍德 / 梅森·甘布 / 威廉姆·李·斯科特 / 欧内斯特·博格宁 / 托尼·夏尔赫布 / 肯·马里诺 / 加布里埃尔·瑞丝 / 迪恩·诺里斯 / 丹格里芬 / 格雷戈·赛斯特罗 / Elizabeth Dennehy / 查德·克里斯特 / George Marshall Ruge,剧情 / 科幻 / 惊悚,美国,英语 / 世界语,1997-10-24(美国),106分钟
无耻混蛋,2009,8.6,469904,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,布拉德·皮特 / 梅拉尼·罗兰 / 克里斯托弗·瓦尔兹 / 伊莱·罗斯 / 迈克尔·法斯宾德 / 黛安·克鲁格 / 丹尼尔·布鲁赫 / 蒂尔·施威格 / 哥德昂·布克哈德 / 雅基·伊多 / B·J·诺瓦克 / 奥玛·杜姆 / 奥古斯特·迪赫 / 德尼·梅诺谢 / 西尔维斯特·格罗特 / 马丁·乌特克 / 麦克·梅尔斯 / 朱莉·德赖弗斯 / 理查德·塞梅尔 / 亚历山大·费林 / 罗德·泰勒 / 索恩克·莫宁 / 山姆·莱文 / 保罗·鲁斯特 / 迈克尔·巴考尔 / 阿尔恩特·施韦林·索瑞 / Petra Hartung / Volker Michalowski / 肯·杜肯 / 克里斯蒂安·贝克尔 / 安娜-索菲·弗兰克 / 蕾雅·赛杜 / 蒂娜·罗德里格斯 / 路德格·皮斯特 / 雅娜·帕拉斯克 / 迈克尔·克兰茨 / 赖纳·博克 / 安德烈·彭文 / 塞巴斯蒂安·胡克 / 克里斯蒂安·布吕克纳 / 希尔玛·艾奇霍恩 / Patrick Elias / 伊娃·勒鲍 / 威尔弗里德·霍赫霍尔丁格 / Michael Scheel / 博·史文森 / 恩佐·卡斯特拉里 / 贝拉·B·菲森海默 / Noemi Besedes / 埃莱娜·卡多纳 / 杰克·加伯 / 塞缪尔·杰克逊 / 哈威·凯特尔 / Andrew Napier / 格里高利·尼克特洛 / Niko Novick / Aleksandrs Petukhovs / Brendan Potter / Nikki Rapp / Sabrina Rattey / 昆汀·塔伦蒂诺 / Vitus Wieser,剧情 / 犯罪,德国 / 美国,英语 / 德语 / 法语 / 意大利语,2009-05-20(戛纳电影节) / 2009-08-20(德国),153分钟
崖上的波妞,2008,8.6,487764,宫崎骏,宫崎骏,神月柚莉爱 / 土井洋辉 / 山口智子 / 长岛一茂 / 天海祐希 / 所乔治 / 柊瑠美 / 矢野显子 / 吉行和子 / 奈良冈朋子 / 左时枝 / 羽鸟慎一 / 平冈映美 / 大桥望美,动画 / 奇幻 / 冒险,www.ghibli.jp/ponyo/,日本,日语,2020-12-31(中国大陆) / 2008-07-19(日本)
末路狂花,1991,8.9,248145,雷德利·斯科特,卡莉·克里,吉娜·戴维斯 / 苏珊·萨兰登 / 哈威·凯特尔 / 迈克尔·马德森 / 布拉德·皮特,剧情 / 惊悚 / 犯罪,美国 / 英国 / 法国,英语,1991-05-24(美国) / 1991-05-29(法国),130 分钟
奇迹男孩,2017,8.6,545810,斯蒂芬·卓博斯基,斯蒂芬·卓博斯基 / 斯蒂夫·康拉德 / 杰克·索恩 / R·J·帕拉西奥,雅各布·特伦布莱 / 朱莉娅·罗伯茨 / 伊扎贝拉·维多维奇 / 欧文·威尔逊 / 诺亚·尤佩 / 丹妮尔·罗丝·拉塞尔 / 纳吉·杰特 / 戴维德·迪格斯 / 曼迪·帕廷金 / 布莱斯·吉扎尔 / 艾尔·麦金农 / 泰·孔西利奥 / 詹姆斯·休斯 / 凯尔·布瑞特科夫 / 米莉·戴维斯 / 莉娅·朱厄特 / 凯琳·布瑞特科夫 / 利亚姆·迪金森 / 艾玛·特伦布莱 / 马克·多兹劳 / 鲁奇娅·伯纳德 / J·道格拉斯·斯图瓦特 / 阿里·利伯特 / 埃丽卡·麦基特里克 / 本杰明·拉特纳 / 杰森·麦金农 / 索尼娅·布拉加 / 吉洁特,剧情 / 家庭 / 儿童,www.wonder.movie,美国 / 中国香港,英语,2018-01-19(中国大陆) / 2017-11-17(美国)
彗星来的那一夜,2013,8.6,569289,詹姆斯·沃德·布柯特,詹姆斯·沃德·布柯特 / 亚历克斯·马努吉安,艾米丽·芭尔多尼 / 莫瑞·史特林 / 尼古拉斯·布兰登 / 劳伦·斯卡法莉娅 / 伊丽莎白·格瑞斯 / 雨果·阿姆斯特朗 / 亚历克斯·马努吉安 / 劳伦·马赫,科幻 / 悬疑 / 惊悚,美国 / 英国,英语,2013-09-19(奇幻电影节) / 2014-08-06(美国),89分钟
二十二,2015,8.7,288775,郭柯,纪录片,中国大陆,汉语普通话,2017-08-14(中国大陆) / 2015-10-05(釜山电影节) / 2016-06-25(莫斯科电影节),99分钟(公映版) / 112分钟,Twenty Two / 22,tt3843282
黑客帝国2：重装上阵,2003,8.7,401074,拉娜·沃卓斯基 / 莉莉·沃卓斯基,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯 / 雨果·维文 / 莫妮卡·贝鲁奇 / 赫尔穆特·巴凯蒂斯 / 斯蒂夫·巴什托尼 / 克里斯汀·阿努 / 丹尼尔·伯哈特 / 约瑟芬·白内斯 / 安迪·阿尼斯 / 贾达·萍克·史密斯 / 邹兆龙 / 埃茜·戴维斯 / 纳许·埃哲顿 / 格洛丽亚·福斯特 / 大卫·富兰克林 / 诺娜·加耶 / 小罗伊·琼斯 / 大卫·基尔德 / 兰德尔·杜克·金 / 克里斯托弗·卡比 / 纳撒尼尔·利斯 / 哈里·列尼斯 / 罗伯特·马莫内 / 马特·麦科姆 / 罗宾·奈文 / 大卫·诺 / 吉娜薇·欧瑞丽 / 苏格拉底·奥图 / 哈罗德·佩里诺 / 阿德里安·雷梅特 / 尼尔·雷梅特 / 鲁伯特·雷德 / 大卫·罗伯茨 / 凯文·斯科特 / 尼坎德罗·托马斯 / 吉娜·托瑞斯 / 史蒂夫·维拉 / 克莱顿·华生 / 康奈尔·韦斯特 / 雷·沃纳尔 / 伯纳德·怀特 / 朗贝尔·维尔森 / 安东尼·布兰登·黄 / 安东尼·泽比,动作 / 科幻,美国,英语 / 法语,2003-07-18(中国大陆) / 2003-05-07(韦斯特伍德首映) / 2003-05-15(美国),138分钟
花束般的恋爱,2021,8.6,602906,土井裕泰,坂元裕二,菅田将晖 / 有村架纯 / 细田佳央太 / 清原果耶 / 小田切让 / 押井守 / 户田惠子 / 岩松了 / 小林薰 / 韩英惠 / 中崎敏 / 小久保寿人 / 泷内公美 / 森优作 / 古川琴音 / 篠原悠伸 / 八木亚里纱 / 佐藤宽太 / 岡部敬史 / 萩原实里 / 福山翔大 / 萩原利久 / 片山友希 / 宇野祥平 / 佐藤玲 / 水泽绅吾 / 穗志萌香,剧情 / 爱情,hana-koi.jp,日本,日语,2022-02-22(中国大陆) / 2021-01-29(日本)
爱乐之城,2016,8.4,880928,达米恩·查泽雷,达米恩·查泽雷,瑞恩·高斯林 / 艾玛·斯通 / 约翰·传奇 / 罗丝玛丽·德薇特 / 芬·维特洛克 / 杰西卡·罗德 / 水野索诺娅 / 考莉·埃尔南德斯 / J·K·西蒙斯 / 汤姆·艾弗瑞特·斯科特 / 米根·费伊 / 达蒙·冈普顿 / 贾森·福克斯 / 乔什·平茨 / 艾米·科恩 / 特里·沃尔特斯 / 汤姆·谢尔顿 / 信达·亚当斯 / 克劳丁·克劳迪奥 / D·A·瓦拉赫 / 特雷弗·里斯奥尔 / 奥莉维亚·汉密尔顿 / 安娜·查泽雷 / 马里乌斯·代·弗里斯 / 妮科尔·库隆 / 迈尔斯·安德森 / 约翰·辛德曼 / 瓦拉里·雷·米勒 / 基夫·范登·霍伊维尔 / 佐伊·霍尔 / 登普西·帕皮恩 / 辛德拉·车,剧情 / 爱情 / 歌舞,美国,英语,2017-02-14(中国大陆) / 2016-08-31(威尼斯电影节) / 2016-12-25(美国),128分钟
